AHIPC,Aspine,AHIPR,AER,AWR,AHR,Gender
1.074197494,1.104815397,1.05800868,1.086523557,0.983399392,0.955171755,1
0.941238359,0.974562561,0.92844177,0.947999421,0.828987683,0.801954964,1
1.115748424,1.148226594,1.095521309,1.138273821,1.045892473,1.01726431,1
0.94114821,0.990126154,0.920283628,0.94585248,0.842391708,0.817208405,1
0.943126085,0.971329704,0.920807791,0.952584206,0.855467971,0.828204971,1
0.872331698,0.902546811,0.848518128,0.857036363,0.759645297,0.731655648,1
0.884916127,0.915792768,0.85691779,0.88296455,0.770746627,0.737928737,1
0.874197444,0.904591863,0.846276569,0.863387898,0.760163205,0.729470269,1
0.893256635,0.922398137,0.867672691,0.897322109,0.795746609,0.769559459,1
0.889469234,0.917802011,0.875067273,0.91197462,0.830846459,0.806860331,1
0.989260378,1.015331702,0.96807455,1.023620766,0.933029093,0.90869264,1
0.99085975,1.01788777,0.974423181,1.00466439,0.908709587,0.882376015,1
0.989260378,1.015331702,0.96807455,1.023620766,0.933029093,0.90869264,1
0.959753508,0.982101922,0.935884874,0.948194803,0.846290567,0.814859068,1
0.929995128,0.958092088,0.909935324,0.938128407,0.830922997,0.800307211,1
1.0092294,1.054970507,0.996933249,1.107792854,1.000944295,0.968689287,1
0.99782147,1.031283332,0.975356478,1.007193125,0.904022785,0.876517739,1
0.780670828,0.807308108,0.765514983,0.772297743,0.676520337,0.650522645,1
0.802640634,0.832273489,0.789032068,0.792035788,0.695145172,0.670601524,1
0.778386181,0.803909584,0.757492061,0.776409067,0.681456565,0.656509486,1
0.810109863,0.834433539,0.799968675,0.860048982,0.810359386,0.793587049,1
1.179043701,1.179043701,1.05800868,1.086523557,0.983399392,0.955171755,1
1.059409134,1.089077966,1.038903177,1.071114984,0.969235605,0.938909108,1
1.115363984,1.144711566,1.094995391,1.13318542,1.026042443,0.99254463,1
1.105641723,1.135593906,1.083902785,1.112228266,1.008061626,0.981887663,1
1.074619922,1.105515929,1.051205152,1.079471466,0.977342056,0.94818109,1
1.105896176,1.134199014,1.086646734,1.107424962,1.006840548,0.980468222,1
1.115053122,1.137418601,1.094294855,1.08930969,0.983631496,0.947096556,1
0.920657261,0.950291445,0.903781757,0.916511035,0.814405553,0.783863784,1
1.215982065,1.243200343,1.194324595,1.211223929,1.102626041,1.077723681,1
0.781821729,0.805028477,0.757031036,0.771696852,0.679820237,0.65428769,1
1.00498934,1.035505974,0.986769451,1.01383965,0.905149603,0.875661949,1
0.982687789,1.008812093,0.9644689,0.967276288,0.868740495,0.833498879,1
1.317621373,1.351993559,1.29998561,1.348871153,1.246790384,1.215482749,1
1.051957029,1.079377572,1.032027861,1.057574576,0.946439913,0.914085038,1
1.158360637,1.200782798,1.137574529,1.18287561,1.095975682,1.071301915,1
0.962922637,0.99383909,0.939194994,0.977152197,0.875329701,0.846739262,1
0.882082895,0.918274911,0.861740893,0.931681422,0.84028222,0.813836434,1
1.086574647,1.129177566,1.064493608,1.093095466,0.987846269,0.956761338,1
1.028457871,1.080453009,1.012747831,1.052507629,0.950581162,0.921900074,1
0.983163581,1.009517297,0.964400101,1.024554446,0.915719147,0.887348882,1
1.004232417,1.042838897,0.994076913,1.009986739,0.902929106,0.87650175,1
0.952971178,0.986474178,0.930972254,0.972647393,0.875948469,0.843236715,1
1.000630719,1.030840045,0.975000198,1.014196371,0.923614776,0.895839681,1
1.017934192,1.051267831,0.99812535,1.025958014,0.920191375,0.890503143,1
1.05606527,1.084824657,1.039760217,1.059760698,0.959264304,0.933042784,1
0.90555223,0.936395371,0.891117795,0.922620804,0.819432404,0.792661591,1
1.088555545,1.118376376,1.072851247,1.107556727,1.03611664,1.0148354,1
1.169537414,1.197662065,0.882386672,0.960193788,0.8435223,0.816812509,1
0.899084354,0.952326806,0.983985055,1.029631537,0.936723651,0.911274786,1
0.995108862,1.02990194,0.95118295,0.985662592,0.882892203,0.855551274,0
1.099629616,1.127539301,1.079163698,1.081724117,1.006479047,0.984761248,0
1.281037951,1.332320967,1.260827827,1.295864463,1.199934548,1.170618702,0
1.004635088,1.051816098,0.988862199,1.016992693,0.896861947,0.876167606,0
1.041762526,1.089620312,1.023677629,1.055693669,0.949634505,0.920603038,0
1.081732283,1.106934925,1.072111655,1.14185863,1.061228737,1.037522602,0
1.082432254,1.130820117,1.075422912,1.151303538,1.081240444,1.066678414,0
1.180254448,1.202590635,1.171136802,1.188665581,1.108982669,1.083457961,0
1.190218787,1.227901857,1.173905935,1.205331347,1.116203709,1.083236858,0
1.233178049,1.265207025,1.221002031,1.226721751,1.146438936,1.120603033,0
1.197431429,1.24062681,1.172267656,1.210662427,1.105001936,1.077790801,0
1.158459748,1.185852893,1.150802868,1.17959541,1.115258011,1.094728653,0
1.414858759,1.442908707,1.398817066,1.41962497,1.340021301,1.320066667,0
1.368417509,1.384922588,1.355593437,1.389316709,1.324233525,1.30568855,0
1.394569346,1.413286901,1.384602369,1.382365178,1.314242094,1.294145731,0
1.335809578,1.345962532,1.30671208,1.348885704,1.27743639,1.261466804,0
1.403015507,1.442096159,1.387328396,1.441953037,1.377570152,1.355955416,0
1.220963809,1.267922295,1.200183183,1.271743785,1.164191573,1.12475336,0
1.213244343,1.246113907,1.204835077,1.269826393,1.175840915,1.144740284,0
1.318258569,1.347089975,1.300549752,1.338498516,1.252354584,1.216683593,0

